ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
performance evaluation of a new distributed deadlock detection algorithm,deadlock detection in distributed databases : a new algorithm and a comparative performance,c yeung;s hung;k lam,n krivokapÃ£c;a kemper;e gudes,sigmod record,the vldb journal,1994,1997.6
describing semistructured data,distributed query evaluation on semistructured data,l cardelli,d suciu,sigmod record,acm transactions on database systems,2001,2002
performance issues in incremental warehouse maintenance,on-line warehouse view maintenance,w labio;j yang;y cui;h garcia-molina;j widom,dqj widom,vldb,,2000,1997.6
parallel mining algorithms for generalized association rules with classification hierarchy,mining generalized association rules ( expanded version ),t shintani;m kitsuregawa,r srikant;r agrawal,sigmod conference,technical report rj9963;ibm research division;almaden research,1998,1997.6
rapid bushy join-order optimization with cartesian products,rapid bushy join-order optimization with cartesian products;p. 35-46,b vance;d maier,b vance;d maier,sigmod conference,,1996,1996
an introduction to spatial database systems,introduction to database integrity,r gÑœting,tr cs,vldb j.,,1994,1997.6
indexing of now-relative spatio-bitemporal data,indexing of now-relative spatio-bitemporal data,s saltenis;c jensen,s Ã¥ altenis;cs jensen,vldb j.,the vldb journal the international journal on very large & hellip,2002,2002
approximate computation of multidimensional aggregates of sparse data using wavelets,approximate computation of multidimensional aggregates in a data warehouse,j vitter;m wang,r pears;m mansfield,sigmod conference,annual conference proceedings of the national advisory & hellip,1999,1997.6
enhanced abstract data types in object-relational databases,iteration and abstract data types,p seshadri,jd eckart,vldb j.,acm sigplan notices,1998,1987
editor ¡¯s notes,editor ¡¯s notes,m franklin,rh silkman,sigmod record,new directions for program evaluation,2000,1997.6
design principles for data-intensive web sites,caching strategies for data-intensive web sites,s ceri;p fraternali;s paraboschi,d florescu,sigmod record,,1999,1997.6
secure transaction processing in firm real-time database systems,commit processing in distributed secure and real-time transaction processing systems,b george;j haritsa,pk nagaraj,sigmod conference,,1997,1998
static detection of security flaws in object-oriented databases,semanticmodelling of object-oriented databases,k tajima,mbe m & de,sigmod conference,hoe . vldb,1996,1997.6
data management for earth system science,database management systems in 1990,j frew;j dozier,jl berg,sigmod record,proceedings of the 1982 acm sigmod international conference & hellip,1997,1982
storing semistructured data with stored,storing semistructured data with stored,a deutsch;m fernandez;d suciu,a deutsch;m fernandez;d suciu,sigmod conference,sigmod conference,1999,1999
streaming queries over streaming data,approximate frequency counts over streaming data,s chandrasekaran;m franklin,g manku;r motwani,vldb,proceedings of the 28th international conference on very & hellip,2002,1997.6
bringing order to query optimization,coloring away communication in parallel query optimization,g slivinskas;c jensen;r snodgrass,w hasan;r motwani,sigmod record,vldb,2002,1995
editor ¡¯s ( farewell ) notes,editorÃ¢ ?? s notes,,gr maughan,,new directions for higher education,1995,2001
managing intervals efficiently in object-relational databases,storage and retrieval of xml documents using object-relational databases,h kriegel;m pÑ–tke;t seidl,t shimura;m yoshikawa;s uemura,vldb,,2000,1997.6
distributed deviation detection in sensor networks,distributed restoration in telecommunications networks,t palpanas;d papadopoulos;v kalogeraki;d gunopulos,d johnsonÃ¢ ? Â¦,sigmod record,bt technology journal,2003,1994
database research at columbia university,database research at the ibm almaden research center,s chang;l gravano;g kaiser;k ross;s stolfo,lm haas;pg selinger,sigmod record,sigmod record,1998,1991
tsql2 language specification,tsql2 language specification;1994,r snodgrass;i ahn;g ariav;d batory;j clifford;c dyreson;r elmasri;f grandi;c jensen;w kÑ„fer;n kline;k kulkarni;t leung;n lorentzos;j roddick;a segev;m soo;s sripada,rt snodgrass,sigmod record,available by ftp from ftp . cs . arizona .,1994,1997.6
an efficient algorithm for mining association rules in large databases,cure : an efficient clustering algorithm for large databases,a savasere;e omiecinski;s navathe,s guha;r rastogi;k shim,vldb,information systems,1995,2001
multi-dimensional substring selectivity estimation,dewitt . equi-depthhistogramsfor estimating selectivity factors for multi-dimensional queries,h jagadish;o kapitskaia;r ng;d srivastava,m muralikrishnaandd,vldb,proceedings of the acm sigmod conference on management of & hellip,1999,1997.6
a foundation for multi-dimensional databases,on an algebra for historical relational databases,m gyssens;l lakshmanan,j cliord;a tansel,vldb,proceedings of the international conference on management of & hellip,1997,1997.6
formal query languages for secure relational databases,supporting top-k join queries in relational databases,m winslett;k smith;x qian,if ilyas;wg aref;ak elmagarmid,acm trans . database syst .,the vldb journal,1994,2004
disnic-plan : a nicnet based distributed database for micro-level planning in india,disnic-plan : a nicnet based distributed database for micro-level planning in india,m moni,m moni,vldb,proceedings of the international conference on very large & hellip,1996,1996
database research at arizona state university,database research at the university of illinois at urbana-champaign,s urban;s dietrich;f golshani,m winslett;kcc chang;ah doan;j han;c zhai;y,sigmod record,sigmod record,1996,2002
toward learning based web query processing,knowledge bassed query processing,y diao;h lu;s chen;z tian,mm hanuner;sb zdonik,vldb,proceedings of the 6th vldb conference,2000,1997.6
a database interface for file updates,a database interface for le update,s abiteboul;s cluet;t milo,s abiteboul;s cluet;t milo,sigmod conference,sigmod,1995,1997.6
lh * - a scalable;distributed data structure,lh * - a scalable;distributed data store,w litwin;m neimat;d schneider,w litwin;ma neimat;da schneider,acm trans . database syst .,acm transactions on database systems ( tods ),1996,1997.6
mining fuzzy association rules in databases,shrikant . mining association rules between sets of items in large databases,c kuok;a fu;m wong,r agrawal;t imielinski andr,sigmod record,proceedings of acm sigmod conference on management of,1998,1997.6
fast algorithms for mining association rules in large databases,fast algo . for mining assoiciation rules,r agrawal;r srikant,r agrawal;r srikant,vldb,proc . the 20th vldb,1994,1997.6
applying data mining techniques to a health insurance information system,applying data mining techniques to a health insurance information system,m viveros;j nearhos;m rothman,ms viveros,vldb,proceedings of the international conference on very large & hellip,1996,1996
calls for papers / announcements,i. announcements,,ii business;iiip items,sigmod record,,1994,2002
an annotated bibliography on active databases,schema evolution in database systems : an annotated bibliography,u jaeger;j freytag,jf roddick,sigmod record,acm sigmod record,1995,1992
data mining techniques,a review of data mining techniques,j han,sj lee;k siau,sigmod conference,,1996,1997.6
an annotated bibliography on active databases,the proteus bibliography : representation and interactive display in databases,u jaeger;j freytag,og center,sigmod record,sigmod record,1995,1986
automatic subspace clustering of high dimensional data for data mining applications,automatic subspace clustering of high dimensional data for data mining applications,r agrawal;j gehrke;d gunopulos;p raghavan,raj gehrke;dgp raghavan,sigmod conference,,1998,1997.6
query processing techniques for multiversion access methods,query processing techniques for multiversion access methods,j bercken;b seeger,b jvd;b seeger,vldb,,1996,1996
editor ¡¯s notes,editor ¡¯s notes,,wmk trochim,,new directions for program evaluation,2001,1997.6
cure : an efficient clustering algorithm for large databases,an efficient clustering algorithm for large databases,s guha;r rastogi;k shim,s guha;r rastogi;kc shim,sigmod conference,proceedings of the acm sigmod conference on management of & hellip,1998,1997.6
open issues in parallel query optimization,hasanw.;krishnamurthy r. query optimization for parallel execution,w hasan;d florescu;p valduriez,s ganguly,sigmod record,proc . of the acm sigmod conf . on management of,1996,1997.6
exact : an extensible approach to active object-oriented databases,oz + : an object-oriented database system,o dÑaz;a jaime,sp weiser;fh lochovsky,vldb j.,acm press frontier series,1997,1989
parallel mining algorithms for generalized association rules with classification hierarchy,agrawal r. ming generalized association rules [ c ],t shintani;m kitsuregawa,r srikant,sigmod conference,proceedings of the 21th international conference on very & hellip,1998,1997.6
cost-based selection of path expression processing algorithms in object-oriented databases,effective clustering of complex objects in object-oriented databases,g gardarin;j gruser;z tang,rc jia-bing;ar hurson,vldb,,1996,1997.6
searching on the secondary structure of protein sequences,searching on the secondary structure of protein sequences,l hammel;j patel,l hammel;jm patel,vldb,vldb,2002,2002
a query language and optimization techniques for unstructured data,query decomposition and view maintenance for query languages for unstructured data,p buneman;s davidson;g hillebrand;d suciu,d suciu,sigmod conference,vldb,1996,1996
adaptive filters for continuous queries over distributed data streams,continously adaptive continuous queries over streams,c olston;j jiang;j widom,s madden;m shah;j hellerstein;v raman,sigmod conference,proc . of acm sigmod,2003,1997.6
experience report : exploiting advanced database optimization features for large-scale sap r/3 installations,experience report : exploiting advanced database optimization features for large-scale sap r/3,b zeller;a kemper,b zeller;a kemper,vldb,vldb,2002,2002
e-services - guest editorial,editorial,,mt norris;pa martin,,bt technology journal,2001,1999
a cost model for clustered object-oriented databases,methodology for index configurations in object-oriented databases,g gardarin;j gruser;z tang,ks sang;jl yoon,vldb,information sciences,1995,1996
icicles : self-tuning samples for approximate query answering,aqua : system and techniques for approximate query answering,v ganti;m lee;r ramakrishnan,pb gibbons;v poosala;s acharya;y bartal;y,vldb,,2000,1997.6
mining generalized association rules,mining association rules betwwen sets of items in large databases,r srikant;r agrawal,r agrawal;t imielinski;a swami,vldb,proceedings of acm sigmod conference on management of data;& hellip,1995,1997.6
dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,efficient parallel data mining for association rules,m tamura;m kitsuregawa,js park;ms chen;ps yuÃ¢ ? Â¦,vldb,,1999,1997.6
maximizing the output rate of multi-way join queries over streaming information sources,rate-basedqueryoptimizationfor streaming information sources,s viglas;j naughton;j burger,njf viglase,vldb,proceedings of acm sigmod;madison;wi,2003,1997.6
open object database management systems,statistical database management,,hkt wong,,proceedings of the 1982 acm sigmod international conference & hellip,1994,1982
fast subsequence matching in time-series databases,fast subsequence matchingin time-seriesdatabases,c faloutsos;m ranganathan;y manolopoulos,c faloutsos;m ranganathan;y manolopoulos,sigmod conference,proc . acm sigmod,1994,1997.6
acm multimedia ¡¯94 conference workshop on multimedia database management systems,resource management in networked multimedia systems,p berra;k nwosu;b thuraisingham,r steinmetz;k nahrstedt,sigmod record,ieee computer,1995,1997.6
database systems management and oracle8,panel : database system performance management,c doherty,h boral,sigmod conference,acm sigmod record,1998,1986
the aditi deductive database system,the architecture of an active data base management system,j vaghani;k ramamohanarao;d kemp;z somogyi;p stuckey;t leask;j harland,dr mccarthy,vldb j.,,1994,1997.6
unisql/x unified relational and object-oriented database system,introduction to object-oriented databases,w kim,w kim,sigmod conference,,1994,1997.6
the database research group at eth zurich,the database and information system research group at the university of ulm,m norrie;s blott;h schek;g weikum,p dadam;w klas,sigmod record,sigmod record,1994,1997
guest editorial,editorial,,v quint,,electronic publishing,2003,1997.6
online association rule mining,maintaining data privacy in association rule mining,c hidber,sj rizvi;jr haritsa,sigmod conference,vldb,1999,2002
query unnesting in object-oriented databases,a cost model for clustered object-oriented databases,l fegaras,zh tangot;stg france,sigmod conference,,1998,1997.6
optimization of queries with user-defined predicates,optimization of large join queries : proc,s chaudhuri;k shim,a swami;a gupta,acm trans . database syst .,acm sigmod intl. conf . on management of data;pp,1999,1997.6
converting relational to object-oriented databases,updating relational databases through object-based views,j fong,t barsalou;g wiederhold,sigmod record,,1997,1997.6
a system for watermarking relational databases,mind : a scalable mining for classifier in relational databases,r agrawal;p haas;j kiernan,m wang;b iyer;js vitter,sigmod conference,proceedings of the acm sigmod workshop on research issues on & hellip,2003,1997.6
a general techniques for querying xml documents using a relational database system,relational databases for querying xml documents : limitations and opportunities,j shanmugasundaram;e shekita;j kiernan;r krishnamurthy;s viglas;j naughton;i tatarinov,j shanmugasuudaram;k tufte;c zhang;g he;dj,sigmod record,vldb &#39; 99;proceedings of 25th international conference on & hellip,2001,1997.6
view management in multimedia databases,multimedia databases coursenotes,k candan;e lemar;v subrahmanian,a ghafoor,vldb j.,proceedings of acm multimedia conference,2000,1997.6
component-based e-commerce : assesment of current practices and future directions,deductive databases : achievements and future directions,m bichler;a segev;j zhao,jd ullman;c zaniolo,sigmod record,sigmod record,1998,1990
emergent semantics and the multimedia semantic web,section on semantic web and data management : emergent semantics and the multimedia semantic web,w grosky;d sreenath;f fotouhi,wi grotsky;dv sreenath;f fotouhi,sigmod record,,2002,2002
large databases for remote sensing and gis,large databases for remote sensing and gis,a dasgupta,ar dasgupta,vldb,proceedings of the international conference on very large & hellip,1996,1996
repository system engineering,requirement engineering,,apnp rolland;p negoro,,information and software technology,1996,1999
mining fuzzy association rules in databases,mining quantitative association rules in large relational tables [ c ],c kuok;a fu;m wong,r sfikant;r agrawal,sigmod record,proceedings of the acm-sigmod conference on management of & hellip,1998,1997.6
design and analysis of parametric query optimization algorithms,parametric query optimization : a geometric approach,s ganguly,vgv prasad,vldb,,1998,1999
guest editorial,guest editor ¡¯s introduction,,portal.acm.org,,,2000,1997.6
a performance evaluation of oid mapping techniques,on the performance of object clustering techniques,a eickler;c gerlhof;d kossmann,mm tsangaris;jf naughton,vldb,,1995,1997.6
improved histograms for selectivity estimation of range predicates,consistently estimating the selectivity of conjuncts of predicates,v poosala;y ioannidis;p haas;e shekita,v markl;n megiddo;m kutsch;tm tran;p haas;u,sigmod conference,proceedings of the 31st international conference on very & hellip,1996,2005
a database interface for file updates,a dialogue interface for data base applications,s abiteboul;s cluet;t milo,r studer,sigmod conference,vldb,1995,1980
databases and transaction processing : an application-oriented approach - book review,database and transaction processing benchmarks,a kemper,j gray,sigmod record,,2002,1997.6
languages for multi-database interoperability,query languages for relational multidatabases,f gingras;l lakshmanan;i subramanian;d papoulis;n shiri,j grant;w litwin;n roussopoulos;t sellis,sigmod conference,the vldb journal the international journal on very large & hellip,1997,1993
using unknowns to prevent discovery of association rules,discovery of multiple-level association rules from large databases,y saygin;v verykios;c clifton,h jiawei;f yong-jian,sigmod record,proc of,2001,1997.6
a system for watermarking relational databases,efficient disk-based k-means clustering for relational databases,r agrawal;p haas;j kiernan,c ordonez;e omiecinski,sigmod conference,ieee transactions on knowledge and data engineering,2003,2004
information management challenges from the aerospace industry,information systems management issues for the 1990s,s sripada,f niederman;jc brancheau;jc wetherbe,vldb,mis quarterly,2002,1991
coalescing in temporal databases,the ores temporal database system,m bÑ–hlen;r snodgrass;m soo,b theodolidis;ga ait-braham;j chaudhary;g,vldb,proc . acm sigmod conf . on the management of data,1996,1997.6
declarative updates of relational databases,answermg queries m relational databases,w chen,mm ad ` atn;n spyratos,acm trans . database syst .,proc a cm sigmod int conference on management of data;san,1995,1997.6
join index hierarchies for supporting efficient navigations in object-oriented databases,join index hierarchy : an indexing structure for efficient navigation in object-oriented databases,z xie;j han,j han;z xie;y fu,vldb,,1994,1997.6
lore : a database management system for semistructured data,distributed database management,j mchugh;s abiteboul;r goldman;d quass;j widom,jb rothnie,sigmod record,vldb,1997,1978
procedures in object-oriented query languages,directions in object-oriented research,k subieta;y kambayashi;j leszczylowski,dc tsichritzis;o nierstrasz,vldb,acm press frontier series,1995,1989
report on the 1995 international workshop on temporal databases,report on the first international workshop on efficient web-based information systems,,z lacroix;o boucelma,,acm sigmod record,1995,2003
data placement in shared-nothing parallel database systems,horizontal data partitioning in database systems,m mehta;d dewitt,s ceri;m negri;g pelagatti,vldb j.,proc . of the acm sigmod international conference on,1997,1997.6
efficient mid-query re-optimization of sub-optimal query execution plans,optimization of dynamic query execution plans,n kabra;d dewitt,r cole;g graefe,sigmod conference,proc . of the acm sigmod int .,1998,1997.6
on-line reorganization in object databases,schema modification without database reorganization,m lakhamraju;r rastogi;s seshadri;s sudarshan,m tresch;m scholl,sigmod conference,acm sigmod record on management of data,2000,1997.6
repositories and object oriented databases,a deductive and object-oriented database system : why and how ?,p bernstein,l vieille,sigmod record,proceedings of the 1993 acm sigmod international conference & hellip,1998,1993
algorithms for mining association rules for binary segmentations of huge categorical databases,an efficient algorithm for mining association rules in large databases,y morimoto;t fukuda;h matsuzawa;t tokuyama;k yoda,s ashok,vldb,proceedings of the 21th international conference on very & hellip,1998,1997.6
spatial operators,spatial hash-joins,e clementini;p felice,ml lo;cv ravishankar,sigmod record,proceedings of the 1996 acm sigmod international conference & hellip,2000,1996
extracting schema from semistructured data,extracting semi-structured information from the web,s nestorov;s abiteboul;r motwani, h garcia-molina;j choÃ¢ ? Â¦,sigmod conference,,1998,1997
chair ¡¯s message,head/director ¡¯s message,,rdae status,,,2001,1997.6
the coral deductive system,the rhet system,r ramakrishnan;d srivastava;s sudarshan;p seshadri,jf allen,vldb j.,acm sigart bulletin,1994,1991
maintaining data privacy in association rule mining,mining fuzzy association rules in databases,s rizvi;j haritsa,cm kuok;a fu;mh wong;nt shatin;h kong,vldb,,2002,1997.6
open object database management systems,implementing lazy database updates for an object database system,,f ferrandina;t meyer;r zicari,,vldb,1994,1994
description logics for semantic query optimization in object-oriented database systems,storage reclamation in object-oriented database systems,d beneventano;s bergamaschi;c sartori,mh butler,acm trans . database syst .,proceedings of the acm sigmod international conference on,2003,1997.6
is web-site management a database problem ?,multimedia database management systems,d florescu;a levy;d suciu,b prabhakaran,vldb,,1998,1997.6
modelling and querying video data,graphdb : modeling and querying graphs in databases,r hjelsvold;r midtstraum,rh gtiting,vldb,,1994,1997.6
database design for incomplete relations,Ã¢ ?? update semantics for incomplete databasesÃ¢ ??,m levene;g loizou,s ablteboul;g grahne,acm trans . database syst .,proc 1985 vldb,1999,1997.6
query optimization for xml,rank-aware query optimization,j mchugh;j widom,if ilyas;r shah;wg aref;js vitter;ak,vldb,,1999,1997.6
odefs : a file system interface to an object-oriented database,integrating a structured-text retrieval system with an object-oriented database system,n gehani;h jagadish;w roome,tw yantt;j annevelinkt,vldb,,1994,1997.6
anipqo : almost non-intrusive parametric query optimization for nonlinear cost functions,applying parametric query optimization to non-parametric query metrics,a hulgeri;s sudarshan,vrls vadali,vldb,,2003,2001
accessing a relational database through an object-oriented database interface,event specification in an object-oriented database system,j orenstein;d kamber,nh gehani;hv jagadish;o shmueli,vldb,proc . acm sigmod international conference on management of,1995,1997.6
strudel : a web-site management system,a query language for a web-site management system,m fernandez;d florescu;j kang;a levy;d suciu,d florescu;a levy;m fernandez;d suciu,sigmod conference,sigmod record,1997,1997.6
the coral deductive system,implementation of the coral deductive database system,r ramakrishnan;d srivastava;s sudarshan;p seshadri,r ramakrishnan;d srivastava;s sudarshan;p,vldb j.,proceedings of acm sigmod international conference on & hellip,1994,1993
efficient user-adaptable similarity search in large multimedia databases,similarity search in multimedia databases,t seidl;h kriegel,m patella,vldb,,1997,1997.6
database research at columbia university,database research at bellcore,s chang;l gravano;g kaiser;k ross;s stolfo,t bowen;d deluca;g gopal;p krishnamurthy;k lee,sigmod record,sigmod record,1998,1990
revisiting commit processing in distributed database systems,asd rothnie;j. ¡¯¡¯ query processing in a system for distributed databases . ¡¯¡¯,r gupta;j haritsa;k ramamritham,pa bernstein;n goodman;e wong,sigmod conference,acm trans . database,1997,1997.6
processing sliding window multi-joins in continuous queries over data streams,processing sliding window multi-joins in continuous queries over data streams,l golab;m Ð¶zsu,l golab,vldb,proceedings of the international conference on very large & hellip,2003,2003
title;foreword,foreword,,kc woollard,,bt technology journal,1994,1998
a foundation for multi-dimensional databases,a foundation for multi-dimensional databases,m gyssens;l lakshmanan,m gyssens;lvs lakshmanan,vldb,,1997,1997.6
database techniques for the world-wide web : a survey,picodmbs : scaling down database techniques for the smartcard,d florescu;a levy;a mendelzon,c bobineau;l bouganim;p pucheral;p valduriez,sigmod record,vldb,1998,2000
agent-oriented software engineering report on the 4th aose workshop ( aose 2003 ),report on the ninth conference on software engineering and databases ( jisbd 2004 ),,j hernÃ£ Â¡ ndez;e pimentel;a toval,,sigmod record,2003,2005
temporal database system implementations,an introduction to spatial database systems,m bÑ–hlen,rh gtlting,sigmod record,spatial database systems of the vldb journal,1995,1997.6
querying shapes of histories,m. za it ( 1995 ) . querying shapes of histories,r agrawal;g psaila;e wimmers;m zaÑt,r agrawal;g psaila;el wimmers,vldb,proceedings of the 21st conference on very large databases (,1995,1997.6
xtract : a system for extracting document type descriptors from xml documents,xtract : a system for extracting document type descriptors from xml documents,m garofalakis;a gionis;r rastogi;s seshadri;k shim,a gionis;m garofalakis;r rastogi;s seshadri;k,sigmod conference,proc . of acmsigmod 2000 international conference on & hellip,2000,1997.6
tutorial : designing an ultra highly available dbms,designing an ultra highly available dbms,,o torbjornsen;s bratsberg,,proceedings of acmsigmod conference;dallas;tx;may,2000,1997.6
the ores temporal database management system,temporal management of rfid data,b theodoulidis;a ait-braham;g andrianopoulos;j chaudhary;g karvelis;s sou,f wang;p liu,sigmod conference,proceedings of the 31st international conference on very & hellip,1994,2005
the p operator : discovering and ranking associations on the semantic web,the Ã¯ ? operator : discovering and ranking associations,k anyanwu;a sheth,k anyanwu;a sheth,sigmod record,,2002,1997.6
grid data management systems & services,elxsi data management services;exhibition program,,n whyte,,10th vldb conference;singapore,2003,1997.6
the reach active oodbms,the active dbms manifesto,a buchmann;a deutsch;j zimmermann;m higa,a consort,sigmod conference,acm sigmod record,1995,1997.6
query evaluation in deductive databases with alternating fixpoint semantics,query evaluation and optimization in deductive and object-oriented spatial databases,w chen,w lu;j han,acm trans . database syst .,information and software technology,1995,1995
issues in data stream management,load shedding in a data stream manager,l golab;m Ð¶zsu,n tatbul;u cetintemel;s zdonik;m cherniack;m,sigmod record,proceedings of the international conference on very large & hellip,2003,2003
temporal database system implementations,temporal support in database management systems,m bÑ–hlen,g introduction;p statement,sigmod record,,1995,1997.6
user-defined table operators : enhancing extensibility for ordbms,user-defined table operators : enhancing extensibility for ordbms,m jaedicke;b mitschang,m jaedicke;b mitschang,vldb,proceedings of the 25th international conference on very & hellip,1999,1999
parametric query optimization for linear and piecewise linear cost functions,parametric query optimization for linear and piecewise linear cost functions,a hulgeri;s sudarshan,ah hs02;s sudarshan,vldb,,2002,2002
provision of market services for eco compliant electronic market places,reducing buyer search costs : implications for electronic marketplaces,s arpinar;a dogac,jy bakos,sigmod record,management science,2000,1997
tigukat : a uniform behavioral objectbase management system,the cedar database management system,m Ð¶zsu;r peters;d szafron;b irani;a lipka;a muÑ‘oz,m brownÃ¢ ? Â¦,vldb j.,proc . 1981 acmsigmod conference on management of data;ann & hellip,1995,1997.6
distributed top-n query processing with possibly uncooperative local systems,distributed top-n query processing with possibly uncooperative local systems,c yu;g philip;w meng,c yu;g philip;w meng,vldb,proceedings of the international conference on very large & hellip,2003,2003
a structured approach for the definition of the semantics of active databases,bon the semantics of bnow ^ in databases,p fraternali;l tanca,j clifford;ce dyreson;t isakowitz;cs jensen;rt,acm trans . database syst .,acm transactions on database systems;tods,1995,1997.6
editor ¡¯s notes,editors ¡¯ notes,l liu,jh astrachan,sigmod record,,2003,1997.6
automated selection of materialized views and indexes in sql databases,materialized view selection in a multi-dimensional datacube,s agrawal;s chaudhuri;v narasayya,e baralis;s paraboschi;e teniente,vldb,,2000,1997
a normal form for precisely characterizing redundancy in nested relations,a normal form for nested relations,w mok;y ng;d embley,zm Ã£?zsoyoglu;ly yuan,acm trans . database syst .,proceedings of the fourth acm sigact-sigmod symposium on & hellip,1996,1985
a conceptual architecture for semantic web enabled web services,a web service architecture for enforcing access control policies,c bussler;d fensel;a maedche,ca ardagna;e damiani;sdc di vimercati;p,sigmod record,,2002,1997.6
declarative updates of relational databases,preference queries in relational databases,w chen,j chomicki,acm trans . database syst .,acm transactions on database systems . to,1995,1997.6
exact : an extensible approach to active object-oriented databases,the architecture of an active;object-oriented database system,o dÑaz;a jaime,d mccarthy;u dayal,vldb j.,proc . 1989 acm-sigmod conference on management of data;& hellip,1997,1997.6
efficient concurrency control in multidimensional access methods,multidimensional access methods : trees have grown,k chakrabarti;s mehrotra,t sellis;n roussopoulos;c faloutsos,sigmod conference,,1999,1997.6
analysis of navigation behaviour in web sites integrating multiple information systems,analysis and design of web-based information systems,b berendt;m spiliopoulou,k takahashi;e liang,vldb j.,www6 / computer networks,2000,1997
supporting top-k join queries in relational databases,supporting multi-media object management in a relational database management system,i ilyas;w aref;a elmagarmid,lm haas,vldb,technical report . ibm almaden research center,2003,1997.6
new standard for stored procedures in sql,new standard for stored procedures in sol,a eisenberg,a eisenherg,sigmod record,,1996,1996
relational data sharing in peer-based data management systems,access control in a relational data base management system by query modification,b ooi;y shu;k tan,w weis69,sigmod record,proc . 1974 acm annual,2003,1969
integrating temporal;real-time;and active databases,temporal conditions and integrity constraints in active databases,k ramamritham;r sivasankaran;j stankovic;d towsley;m xiong,ap sistla;o wolfson,sigmod record,proc . of the 1995 sigmod international conference on the,1996,1997.6
query caching and optimization in distributed mediator systems,capturing causality in distributed systems,s adali;k candan;y papakonstantinou;v subrahmanian,m raynal;m singhal,sigmod conference,ieee computer,1996,1997.6
efficient algorithms for mining outliers from large data sets,algorithms for mining distance-based outliers in large datasets,s ramaswamy;r rastogi;k shim,em knorr;rt ng,sigmod conference,vldb,2000,1998
unisql/x unified relational and object-oriented database system,extraction of object-oriented structures from existing relational databases,w kim,s ramanathan;j hodges,sigmod conference,sigmod record,1994,1997
benchmarking spatial join operations with spatial output,1995 . benchmarking spatial join operations with spatial output,e hoel;h samet,eg hoel;h samet,vldb,proc . 21st int . conf . on very large data,1995,1997.6
stholes : a multidimensional workload-aware histogram,dynamic multidimensional histograms,n bruno;s chaudhuri;l gravano,s guha;p indyk;n koudas;n thaper,sigmod conference,proc . acm sigmod,2001,1997.6
modularization techniques for active rules design,modularization techniques for active rules design,e baralis;s ceri;s paraboschi,e baralis;s ceri;s paraboschi,acm trans . database syst .,acm transactions on database systems,1996,1996
materialized view selection and maintenance using multi-query optimization,materialized view selection in a multi-dimensional datacube,h mistry;p roy;s sudarshan;k ramamritham,e baralis;s paraboschi;e teniente,sigmod conference,,2001,1997
the mariposa distributed database management system,object and rle management m the exodus extensible database system,j sidell,cmj carey;dj dewltt;je i & ha & on;ej shelata,sigmod record,proceedmgs of 1986 vldb conference,1996,1997.6
adaptive filters for continuous queries over distributed data streams,characterizing memory requirements for queries over continuous data streams,c olston;j jiang;j widom,j widom,sigmod conference,acm transactions on database systems,2003,2004
generalizing gloss to vector-space databases and broker hierarchies,garciaÃ¢?Âº molina;h. ( 1995 ) . generalizing gloss to vectorÃ¢?Âº space databases and broker hierarchies,l gravano;h garcia-molina,l gravano,vldb,proc . 21st int . conf . on very large data,1995,1997.6
fast time sequence indexing for arbitrary lp norms,fast time sequence indexing for arbitrary lp norms [ a ],b yi;c faloutsos,y byoung-kee;f christos,vldb,,2000,2000
static detection of security flaws in object-oriented databases,efficient garbage collection for large object-oriented databases,k tajima,bh liskov,sigmod conference,,1996,1996
on computing correlated aggregates over continual data streams,continuous queries over data streams,j gehrke;f korn;d srivastava,j widom;s babu,sigmod conference,sigmod record,2001,1997.6
fast algorithms for maintaining replica consistency in lazy master replicated databases,fast algorithms for maintaining replica consistency in lazy master replicated databases,e pacitti;p minet;e simon,e pacitti;p minet;e simon,vldb,vldb,1999,1999
birch : an efficient data clustering method for very large databases,efficient and effective clustering methods or spatial data mining,t zhang;r ramakrishnan;m livny,r ng;j han,sigmod conference,proc . 1994 int . conf . very large data bases;pages144 { 155,1996,1997.6
index concurrency control in firm real-time database systems,optimistic priority-based concurrency control protocol for firm real-time database systems,b goyal;j haritsa;s seshadri;v srinivasan,jh kim;hs shin,vldb,information & software technology,1995,1997.6
report on the semantic web workshop at www 2002,the semantic web workshop at the 11th international www conference ( www-2002 ),,m frank;n noy;w staab,,sigmod record,2002,1997.6
the design and implementation of a sequence database system,design overview of the aditi deductive database system,p seshadri;m livny;r ramakrishnan,j vaghani;k ramamohanarao;db kemp;z somogyi;pj,vldb,,1996,1997.6
using probabilistic information in data integration,using probabilistic models for selectivity estimation,d florescu;d koller;a levy,l getoor;b taskar;d koller,vldb,proceedings of acm sigmod international conference on,1997,1997.6
i3 : intelligent;interactive investigaton of olap data cubes,i 3 : intelligent;interactive investigaton of olap data cubes,s sarawagi;g sathe,s sarawagi,sigmod conference,geography,2000,1990
the aqua approximate query answering system,join synopses for improving approximate query answers,s acharya;p gibbons;v poosala;s ramaswamy,s acharya;p gibbons;v poosala;s ramaswarmy,sigmod conference,proc . of acm sigmod conf,1999,1997.6
distributed deviation detection in sensor networks,radiation detection with distributed sensor networks,t palpanas;d papadopoulos;v kalogeraki;d gunopulos,sm brennan;am mielke;dc torney;ab maccabe,sigmod record,,2003,1997.6
